movieId,title,genres
4896,Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),Adventure|Children|Fantasy
4993,"Lord of the Rings: The Fellowship of the Ring, The (2001)",Adventure|Fantasy
5816,Harry Potter and the Chamber of Secrets (2002),Adventure|Fantasy
5952,"Lord of the Rings: The Two Towers, The (2002)",Adventure|Fantasy
7153,"Lord of the Rings: The Return of the King, The (2003)",Action|Adventure|Drama|Fantasy
8368,Harry Potter and the Prisoner of Azkaban (2004),Adventure|Fantasy|IMAX
40815,Harry Potter and the Goblet of Fire (2005),Adventure|Fantasy|Thriller|IMAX
54001,Harry Potter and the Order of the Phoenix (2007),Adventure|Drama|Fantasy|IMAX
69844,Harry Potter and the Half-Blood Prince (2009),Adventure|Fantasy|Mystery|Romance|IMAX
72407,"Twilight Saga: New Moon, The (2009)",Drama|Fantasy|Horror|Romance|Thriller
74530,Percy Jackson & the Olympians: The Lightning Thief (2010),Adventure|Fantasy
74946,She's Out of My League (2010),Comedy
78772,"Twilight Saga: Eclipse, The (2010)",Fantasy|Romance|Thriller|IMAX
80463,"Social Network, The (2010)",Drama
80969,Never Let Me Go (2010),Drama|Romance|Sci-Fi
82202,"Tourist, The (2010)",Drama|Thriller
104074,Percy Jackson: Sea of Monsters (2013),Adventure|Children|Fantasy
104218,Grown Ups 2 (2013),Comedy
115927,Doctor Strange (2007),Action|Animation|Children|Fantasy|Sci-Fi
130073,Cinderella (2015),Children|Drama|Fantasy|Romance
