(650, 5.0),
(319, 2.0),
(651, 3.0),
(20, 5.0),
(656, 3.0),
(418, 4.0),
(2085, 3.0),
(659, 2.0),
(2090, 1.0), 
(27, 5.0),
(30, 4.0),
(386, 1.0),
(670, 3.0),
(31, 4.0),
(32, 4.0),
(674, 3.0),
(675, 3.0),
(142, 4.0),
(2100, 2.0),
(2234, 1.0),
(34, 3.0),
(35, 3.0),
(3053, 1.0),
(680, 3.0),
(2520, 3.0),
(36, 3.0),
(683, 3.0),
(2521, 4.0),
(684, 2.0),
(321, 4.0),
(4205, 4.0),
(97, 1.0),
(42, 3.0),
(4206, 5.0),
(3009, 4.0),
(43, 1.0),
(4207, 3.0),
(322, 2.0),
(449, 1.0),
(690, 4.0),
(4208, 1.0),
(48, 4.0),
(387, 5.0),
(49, 5.0),
(2251, 4.0),
(423, 5.0),
(52, 4.0),
(99, 5.0),
(3062, 1.0),
(145, 5.0),
(424, 4.0),
(54, 1.0),
(323, 4.0),
(55, 5.0),
(56, 3.0),
(100, 3.0),
(57, 4.0),
(58, 3.0),
(59, 3.0),
(2121, 1.0),
(60, 4.0),
(2524, 4.0),
(61, 2.0),
(3612, 1.0),
(64, 5.0),
(146, 5.0),
(66, 3.0),
(67, 4.0),
(3549, 3.0),
(2951, 1.0),
(2529, 4.0),
(148, 3.0),
(4209, 3.0),
(151, 4.0),
(68, 3.0),
(69, 5.0),
(701, 3.0),
(702, 3.0),
(72, 5.0),
(73, 3.0),
(75, 4.0),
(76, 2.0),
(2144, 3.0),
(450, 3.0),
(79, 2.0),
(452, 4.0),
(4210, 1.0),
(4211, 4.0),
(83, 1.0),
(2236, 4.0),
(709, 3.0),
(86, 3.0),
(87, 3.0),
(88, 3.0),
(89, 5.0),
(90, 3.0),
(91, 4.0),
(92, 4.0),
(154, 2.0),
(101, 3.0),
(324, 4.0),
(156, 3.0),
(93, 4.0),
(714, 5.0),
(3335, 1.0),
(3601, 1.0),
(506, 5.0)
